categorie,type,prix,adresse,lien
vetements-enfants,Vêtements pour enfants,3500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520989_uploaded_image1_1757622885.jpg
vetements-enfants,Vêtements pour enfants,4000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520983_uploaded_image1_1757622690.jpg
vetements-enfants,Vêtements pour enfants,3500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520979_uploaded_image1_1757622379.jpg
vetements-enfants,Vêtements pour enfants,3500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520806_uploaded_image1_1757613666.jpg
vetements-enfants,Ensemble bas-large,6000.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5478990_uploaded_image1_1755394245.jpg
vetements-enfants,Robe nuafna mélange géginer,10000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427239_uploaded_image1_1752708596.jpg
vetements-enfants,Vêtements d'été pour fille,3500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5428559_uploaded_image1_1752775679.jpg
vetements-enfants,Djalabé pour enfants,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374426_uploaded_image1_1749913743.jpg
vetements-enfants,Vêtements enfants,3500.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5411543_uploaded_image1_1751909046.jpg
vetements-enfants,Ensemble pour jeune fille,10000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5365674_uploaded_image1_1749416491.jpg
vetements-enfants,Robe enfant,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5364583_uploaded_image1_1749330317.jpg
vetements-enfants,Robe enfant,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg
vetements-enfants,Ensemble short enfant,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg
vetements-enfants,Robe pour enfants,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344465_uploaded_image1_1748167330.jpg
vetements-enfants,Robe,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344473_uploaded_image1_1748167713.jpg
vetements-enfants,Polo Lacoste pour enfants,4000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg
vetements-enfants,Emsemble pour enfants 3 pièces,8000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg
vetements-enfants,Ensemble pour enfants de 1ans à 3ans,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342641_uploaded_image1_1748035425.jpg
vetements-enfants,Ensemble pour enfants de 2ans a 12ans,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg
vetements-enfants,Ensemble pour enfants de 2ans a 6ans coton,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg
vetements-enfants,Ensemble pour enfants de 3ans jusqu'à 8ans,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342638_uploaded_image1_1748035029.jpg
vetements-enfants,Ensemble pour enfants 6mois à 4ans,4000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342633_uploaded_image1_1748034778.jpg
vetements-enfants,Ensemble pour enfants coton,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342628_uploaded_image1_1748034550.jpg
vetements-enfants,Survêtement coton pour enfants,1500.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342624_uploaded_image1_1748034284.jpg
vetements-enfants,Habillement enfant,4000.0,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg
vetements-enfants,Ensemble pour enfants,8000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328806_uploaded_image1_1747290315.jpg
vetements-enfants,Emsemble coton,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5290112_uploaded_image1_1745150419.jpg
vetements-enfants,Emsemble  Coton,6000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289213_uploaded_image1_1745070585.jpg
vetements-enfants,Brassière kids,3000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5321500_uploaded_image1_1746889004.jpg
vetements-enfants,Ensemble pour enfants,6000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309005_uploaded_image1_1746217976.jpg
vetements-enfants,Ensemble enfants,6000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309001_uploaded_image1_1746217790.jpg
vetements-enfants,Ensemble pour enfants,6000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308995_uploaded_image1_1746217632.jpg
vetements-enfants,Chemise enfants,15000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263591_uploaded_image1_1743688903.jpg
vetements-enfants,Abaya pour Anfna,10000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263587_uploaded_image1_1743688774.jpg
vetements-enfants,Djalaba,7500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5257015_uploaded_image1_1743325512.jpg
vetements-enfants,Sous vetement enfant,1000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
vetements-enfants,Robe Afne,15000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5243665_uploaded_image1_1742560242.jpg
vetements-enfants,Dialaba  2 pièces,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5233364_uploaded_image1_1742035732.jpg
vetements-enfants,Dialab,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228687_uploaded_image1_1741791237.jpg
vetements-enfants,Dialab 3 pièces  3ans jusqua 16ans,12000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5228280_uploaded_image1_1741779191.jpg
vetements-enfants,Dialab pour enfant de 1ans jusqua 16ans,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227274_uploaded_image1_1741722024.jpg
vetements-enfants,Dialab enfant 3pièces,12000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227233_uploaded_image1_1741720597.jpg
